fuel,hour,value
Power,950,0.00013355
Power,951,0.000117694
Power,952,0.00011614
Power,953,0.000109507
Power,954,0.000125259
Power,955,0.000153068
Power,956,7.87621E-06
Power,957,8.93674E-05
Power,958,0.000133343
Power,959,0.000121183
Power,960,9.31673E-05
Power,961,8.8331E-05
Power,962,8.54638E-05
Power,963,8.2562E-05
Power,964,7.99021E-05
Power,965,7.97294E-05
Power,966,7.7104E-05
Power,967,8.99892E-05
Power,968,9.85217E-05
Power,969,0.000113583
Power,970,0.000127159
Power,971,6.70169E-06
Power,972,5.81734E-05
Power,973,3.30248E-05
Power,974,8.98165E-07
Power,975,0.000118074
Power,976,0.000107642
Power,977,0.000106882
Power,978,0.000132307
Power,979,0.000132894
Power,980,0.000155659
Power,981,0.00012291
Power,982,0.000127919
Power,983,0.000127919
Power,984,2.64959E-05
Power,985,8.33566E-05
Power,986,8.06966E-05
Power,987,8.14221E-05
Power,988,7.66549E-05
Power,989,8.22857E-05
Power,990,6.82951E-05
Power,991,7.12659E-05
Power,992,0.000101493
Power,993,9.92126E-05
Power,994,0.000117452
Power,995,0.000116623
Power,996,0.000110267
Power,997,0.000130407
Power,998,0.000116692
Power,999,0.000101424
Power,1000,0.000119974
Power,1001,0.000112374
Power,1002,0.000115172
Power,1003,0.000121114
Power,1004,0.000116278
Power,1005,0.000167439
Power,1006,0.000151686
Power,1007,9.99726E-05
Power,1008,8.86765E-05
Power,1009,8.69147E-05
Power,1010,6.87787E-05
Power,1011,0.000106156
Power,1012,0.000104636
Power,1013,6.44951E-05
Power,1014,6.64987E-05
Power,1015,8.09384E-05
Power,1016,6.96768E-05
Power,1017,0.00010436
Power,1018,0.000153206
Power,1019,0.00018022
Power,1020,0.000183364
Power,1021,0.000156626
Power,1022,0.000105949
Power,1023,0.000110129
Power,1024,9.82454E-05
Power,1025,9.48254E-05
Power,1026,0.000103323
Power,1027,0.000115829
Power,1028,0.000154726
Power,1029,0.000163397
Power,1030,0.000154484
Power,1031,0.00014191
Power,1032,8.67765E-05
Power,1033,8.0593E-05
Power,1034,6.85714E-05
Power,1035,6.48751E-05
Power,1036,6.59805E-05
Power,1037,9.61382E-05
Power,1038,7.0195E-05
Power,1039,9.02655E-05
Power,1040,0.000112063
Power,1041,8.9851E-05
Power,1042,0.000113238
Power,1043,0.000153172
Power,1044,0.000139665
Power,1045,0.000155832
Power,1046,0.000144639
Power,1047,0.000122254
Power,1048,0.000114723
Power,1049,0.000120285
Power,1050,0.000129163
Power,1051,0.000133205
Power,1052,0.000146608
Power,1053,0.00013089
Power,1054,0.000102425
Power,1055,0.0001017
Power,1056,8.39784E-05
Power,1057,0.000117867
Power,1058,0.000109369
Power,1059,0.000100387
Power,1060,9.64145E-05
Power,1061,9.49291E-05
Power,1062,8.79165E-05
Power,1063,8.57056E-05
Power,1064,8.64311E-05
Power,1065,0.000102494
Power,1066,0.000110474
Power,1067,4.73264E-06
Power,1068,7.01259E-06
Power,1069,0.000117729
Power,1070,0.000122289
Power,1071,0.000138041
Power,1072,0.000110336
Power,1073,0.000124327
Power,1074,0.000140735
Power,1075,0.000137765
Power,1076,0.000136694
Power,1077,0.000142705
Power,1078,9.30291E-05
Power,1079,9.88326E-05
Power,1080,7.9073E-05
Power,1081,7.19223E-05
Power,1082,8.47384E-05
Power,1083,8.4082E-05
Power,1084,7.8244E-05
Power,1085,5.61007E-05
Power,1086,5.10227E-05
Power,1087,5.87607E-05
Power,1088,8.98855E-05
Power,1089,0.000108505
Power,1090,0.000136383
Power,1091,0.000141219
Power,1092,0.000134379
Power,1093,0.000154761
Power,1094,0.000131547
Power,1095,9.47218E-05
Power,1096,0.000120872
Power,1097,0.000106398
Power,1098,5.44426E-05
Power,1099,8.65347E-05
Power,1100,0.000143085
Power,1101,1.22289E-05
Power,1102,0.000120181
Power,1103,0.00011766
Power,1104,0.000108954
Power,1105,7.11277E-05
Power,1106,6.49097E-05
Power,1107,6.34933E-05
Power,1108,5.70334E-05
Power,1109,5.5548E-05
Power,1110,5.66189E-05
Power,1111,7.01259E-05
Power,1112,0.000104291
Power,1113,7.70349E-06
Power,1114,2.00705E-05
Power,1115,0.00013203
Power,1116,0.000140321
Power,1117,0.000110543
Power,1118,0.00013355
Power,1119,0.000127021
Power,1120,0.000100456
Power,1121,9.28909E-05
Power,1122,9.93854E-05
Power,1123,0.000102425
Power,1124,7.87621E-06
Power,1125,8.93674E-05
Power,1126,0.000133343
Power,1127,0.000121183
Power,1128,8.93674E-05
Power,1129,7.73458E-05
Power,1130,7.6344E-05
Power,1131,6.76387E-05
Power,1132,7.99021E-05
Power,1133,7.97294E-05
Power,1134,5.9037E-05
Power,1135,7.89694E-05
Power,1136,7.77258E-05
Power,1137,0.000113583
Power,1138,0.000127159
Power,1139,0.000103669
Power,1140,0.000109369
