Year,Hour,Fuel,Value
2026,70,Diesel,-0.0
2026,70,FireWood,-0.0
2026,71,Power,-0.0
2026,71,Heat,-0.0
2026,71,Mobility,-0.0
2026,71,Cooking,-0.0
2026,71,Diesel,-0.0
2026,71,FireWood,-0.0
2026,72,Power,-0.0
2026,72,Heat,-0.0
2026,72,Mobility,-0.0
2026,72,Cooking,-0.0
2026,72,Diesel,-0.0
2026,72,FireWood,-0.0
2026,73,Power,-0.0
2026,73,Heat,-0.0
2026,73,Mobility,-0.0
2026,73,Cooking,-0.0
2026,73,Diesel,-0.0
2026,73,FireWood,-0.0
2026,74,Power,-0.0
2026,74,Heat,-0.0
2026,74,Mobility,-0.0
2026,74,Cooking,-0.0
2026,74,Diesel,-0.0
2026,74,FireWood,-0.0
2026,75,Power,-0.0
2026,75,Heat,-0.0
2026,75,Mobility,-0.0
2026,75,Cooking,-0.0
2026,75,Diesel,-0.0
2026,75,FireWood,-0.0
2026,76,Power,-0.0
2026,76,Heat,-0.0
2026,76,Mobility,-0.0
2026,76,Cooking,-0.0
2026,76,Diesel,-0.0
2026,76,FireWood,-0.0
2026,77,Power,-0.0
2026,77,Heat,-0.0
2026,77,Mobility,-0.0
2026,77,Cooking,-0.0
2026,77,Diesel,-0.0
2026,77,FireWood,-0.0
2026,78,Power,-0.0
2026,78,Heat,-0.0
2026,78,Mobility,-0.0
2026,78,Cooking,-0.0
2026,78,Diesel,-0.0
2026,78,FireWood,-0.0
2026,79,Power,-0.0
2026,79,Heat,-1.3322676295501878e-14
2026,79,Mobility,-0.0
2026,79,Cooking,-0.0
2026,79,Diesel,-0.0
2026,79,FireWood,-0.0
2026,80,Power,-0.0
2026,80,Heat,-0.0
2026,80,Mobility,-0.0
2026,80,Cooking,-0.0
2026,80,Diesel,-0.0
2026,80,FireWood,-0.0
2026,81,Power,-0.0
2026,81,Heat,-0.0
2026,81,Mobility,-0.0
2026,81,Cooking,-0.0
2026,81,Diesel,-0.0
2026,81,FireWood,-0.0
2026,82,Power,-0.0
2026,82,Heat,-0.0
2026,82,Mobility,-0.0
2026,82,Cooking,-0.0
2026,82,Diesel,-0.0
2026,82,FireWood,-0.0
2026,83,Power,-0.0
2026,83,Heat,-0.0
2026,83,Mobility,-0.0
2026,83,Cooking,-0.0
2026,83,Diesel,-0.0
2026,83,FireWood,-0.0
2026,84,Power,-0.0
2026,84,Heat,-0.0
2026,84,Mobility,-0.0
2026,84,Cooking,-0.0
2026,84,Diesel,-0.0
2026,84,FireWood,-0.0
2026,85,Power,-0.0
2026,85,Heat,-0.0
2026,85,Mobility,-0.0
2026,85,Cooking,-0.0
2026,85,Diesel,-0.0
2026,85,FireWood,-0.0
2026,86,Power,-0.0
2026,86,Heat,-0.0
2026,86,Mobility,-0.0
2026,86,Cooking,-0.0
2026,86,Diesel,-0.0
2026,86,FireWood,-0.0
2026,87,Power,-0.0
2026,87,Heat,-0.0
2026,87,Mobility,-0.0
2026,87,Cooking,-0.0
2026,87,Diesel,-0.0
2026,87,FireWood,-0.0
2026,88,Power,-0.0
2026,88,Heat,-0.0
2026,88,Mobility,-0.0
2026,88,Cooking,-0.0
2026,88,Diesel,-0.0
2026,88,FireWood,-0.0
2026,89,Power,-0.0
2026,89,Heat,-0.0
2026,89,Mobility,-0.0
2026,89,Cooking,-0.0
2026,89,Diesel,-0.0
2026,89,FireWood,-0.0
2026,90,Power,-0.0
2026,90,Heat,-0.0
2026,90,Mobility,-0.0
2026,90,Cooking,-0.0
2026,90,Diesel,-0.0
2026,90,FireWood,-0.0
2026,91,Power,-0.0
2026,91,Heat,-0.0
2026,91,Mobility,-0.0
2026,91,Cooking,-0.0
2026,91,Diesel,-0.0
2026,91,FireWood,-0.0
2026,92,Power,-0.0
2026,92,Heat,-0.0
2026,92,Mobility,-0.0
2026,92,Cooking,-0.0
2026,92,Diesel,-0.0
2026,92,FireWood,-0.0
2026,93,Power,-0.0
2026,93,Heat,-0.0
2026,93,Mobility,-0.0
2026,93,Cooking,-0.0
2026,93,Diesel,-0.0
2026,93,FireWood,-0.0
2026,94,Power,-0.0
2026,94,Heat,-0.0
