fuel,hour,value
Power,639,0.00011
Power,640,0.00013
Power,641,0.00012
Power,642,0.00013
Power,643,0.00014
Power,644,0.00014
Power,645,0.00014
Power,646,0.00015
Power,647,0.00012
Power,648,0.00011
Power,649,0.0001
Power,650,0.00009
Power,651,0.00009
Power,652,0.00009
Power,653,0.00009
Power,654,0.00009
Power,655,0.00009
Power,656,0.00012
Power,657,0.00011
Power,658,0.00013
Power,659,0.00012
Power,660,0.00012
Power,661,0.00014
Power,662,0.00015
Power,663,0.00014
Power,664,0.00013
Power,665,0.00013
Power,666,0.00014
Power,667,0.00015
Power,668,0.00015
Power,669,0.00015
Power,670,0.00013
Power,671,0.00012
Power,672,0.00011
Power,673,0.00009
Power,674,0.00009
Power,675,0.00009
Power,676,0.00008
Power,677,0.00008
Power,678,0.00008
Power,679,0.00009
Power,680,0.00011
Power,681,0.00012
Power,682,0.00012
Power,683,0.00014
Power,684,0.00013
Power,685,0.00011
Power,686,0.00012
Power,687,0.00012
Power,688,0.00011
Power,689,0.00011
Power,690,0.00013
Power,691,0.00012
Power,692,0.00014
Power,693,0.00015
Power,694,0.00013
Power,695,0.00012
Power,696,0.00011
Power,697,0.00011
Power,698,0.00009
Power,699,0.00009
Power,700,0.00009
Power,701,0.00009
Power,702,0.00009
Power,703,0.00009
Power,704,0.00011
Power,705,0.00012
Power,706,0.00012
Power,707,0.00013
Power,708,0.00012
Power,709,0.00013
Power,710,0.00013
Power,711,0.00013
Power,712,0.00013
Power,713,0.00012
Power,714,0.00012
Power,715,0.00013
Power,716,0.00013
Power,717,0.00013
Power,718,0.00012
Power,719,0.00012
Power,720,0.00011
Power,721,0.0001
Power,722,0.0001
Power,723,0.0001
Power,724,0.0001
Power,725,0.00009
Power,726,0.00009
Power,727,0.00009
Power,728,0.0001
Power,729,0.0001
Power,730,0.0001
Power,731,0.00011
Power,732,0.00011
Power,733,0.00012
Power,734,0.00012
Power,735,0.00012
Power,736,0.00013
Power,737,0.00012
Power,738,0.00012
Power,739,0.00013
Power,740,0.00012
Power,741,0.00012
Power,742,0.00013
Power,743,0.00012
Power,744,0.00009
Power,745,0.00008
Power,746,0.00007
Power,747,0.00007
Power,748,0.00008
Power,749,0.00007
Power,750,0.00007
Power,751,0.00008
Power,752,0.00009
Power,753,0.0001
Power,754,0.00012
Power,755,0.00013
Power,756,0.00013
Power,757,0.00013
Power,758,0.00009
Power,759,0.0001
Power,760,0.0001
Power,761,0.0001
Power,762,0.00012
Power,763,0.00012
Power,764,0.00013
Power,765,0.00013
Power,766,0.00011
Power,767,0.0001
Power,768,0.00009
Power,769,0.00008
Power,770,0.00007
Power,771,0.00007
Power,772,0.00007
Power,773,0.00007
Power,774,0.00007
Power,775,0.00007
Power,776,0.0001
Power,777,0.00011
Power,778,0.00011
Power,779,0.00011
Power,780,0.00012
Power,781,0.00011
Power,782,0.00011
Power,783,0.0001
Power,784,0.0001
Power,785,0.0001
Power,786,0.00011
Power,787,0.00014
Power,788,0.00012
Power,789,0.00008
Power,790,0.00012
Power,791,0.00011
Power,792,0.00009
Power,793,0.00008
Power,794,0.00007
Power,795,0.00007
Power,796,0.00007
Power,797,0.00007
Power,798,0.00007
Power,799,0.00007
Power,800,0.00009
Power,801,0.0001
Power,802,0.00011
Power,803,0.00011
Power,804,0.00013
Power,805,0.00014
Power,806,0.00015
Power,807,0.00011
Power,808,0.0001
Power,809,0.00009
Power,810,0.0001
Power,811,0.00011
Power,812,0.00014
Power,813,0.00011
Power,814,0.00014
Power,815,0.00008
Power,816,0.0001
Power,817,0.0001
Power,818,0.0001
Power,819,0.00009
Power,820,0.00009
Power,821,0.00009
Power,822,0.00009
Power,823,0.00009
Power,824,0.00011
Power,825,0.00011
Power,826,0.00013
Power,827,0.00015
Power,828,0.00013
Power,829,0.00014
Power,830,0.00013
Power,831,0.00012
Power,832,0.00013
Power,833,0.00013
Power,834,0.00013
Power,835,0.00013
Power,836,0.0001
Power,837,0.00015
Power,838,0.00013
Power,839,0.00011
Power,840,0.00013
Power,841,0.00012
Power,842,0.0001
Power,843,0.0001
Power,844,0.00009
Power,845,0.00009
Power,846,0.00009
Power,847,0.00009
Power,848,0.0001
Power,849,0.00014
Power,850,0.00014
Power,851,0.00016
Power,852,0.00016
Power,853,0.00014
Power,854,0.00013
Power,855,0.00014
Power,856,0.00013
Power,857,0.00013
Power,858,0.00013
Power,859,0.00013
Power,860,0.00014
Power,861,0.00014
Power,862,0.00014
Power,863,0.00013
Power,864,0.0001
Power,865,0.0001
Power,866,0.00009
Power,867,0.00009
Power,868,0.00009
Power,869,0.00009
Power,870,0.00009
Power,871,0.00009
Power,872,0.0001
Power,873,0.00011
Power,874,0.00012
Power,875,0.00014
Power,876,0.00012
Power,877,0.00014
Power,878,0.00013
Power,879,0.00013
Power,880,0.00012
Power,881,0.00012
Power,882,0.00012
Power,883,0.00012
Power,884,0.00013
Power,885,0.00012
Power,886,0.00011
Power,887,0.0001
Power,888,0.00011
Power,889,0.00011
Power,890,0.0001
Power,891,0.00009
Power,892,0.00009
Power,893,0.00009
Power,894,0.00008
Power,895,0.00008
Power,896,0.00008
Power,897,0.00009
Power,898,0.0001
Power,899,0.00009
Power,900,0.00011
Power,901,0.00012
Power,902,0.00009
Power,903,0.00012
Power,904,0.00013
Power,905,0.00012
Power,906,0.00013
Power,907,0.00012
Power,908,0.00012
Power,909,0.00013
Power,910,0.00013
Power,911,0.00012
Power,912,0.00012
Power,913,0.00008
Power,914,0.00008
Power,915,0.00008
Power,916,0.00007
Power,917,0.00007
Power,918,0.00007
Power,919,0.00008
Power,920,0.0001
Power,921,0.00011
Power,922,0.00012
Power,923,0.00013
Power,924,0.00012
Power,925,0.00014
Power,926,0.00012
Power,927,0.00011
Power,928,0.00013
Power,929,0.00011
Power,930,0.00013
Power,931,0.00008
Power,932,0.00013
Power,933,0.0001
Power,934,0.00013
Power,935,0.00013
Power,936,0.00012
Power,937,0.00011
Power,938,0.00011
Power,939,0.00009
Power,940,0.0001
Power,941,0.0001
Power,942,0.0001
Power,943,0.0001
Power,944,0.00012
Power,945,0.00011
Power,946,0.00014
Power,947,0.00012
Power,948,0.00012
Power,949,0.0001
Power,950,0.00012
Power,951,0.00011
Power,952,0.0001
Power,953,0.00012
Power,954,0.00014
Power,955,0.00016
Power,956,0.00015
Power,957,0.0001
Power,958,0.00014
Power,959,0.00013
Power,960,0.00011
Power,961,0.0001
Power,962,0.0001
Power,963,0.0001
Power,964,0.0001
Power,965,0.0001
Power,966,0.00009
Power,967,0.00011
Power,968,0.00011
Power,969,0.00013
Power,970,0.00014
Power,971,0.00013
Power,972,0.00008
Power,973,0.0001
Power,974,0.00009
Power,975,0.00013
Power,976,0.00012
Power,977,0.00012
Power,978,0.00014
Power,979,0.00014
Power,980,0.00016
Power,981,0.00013
Power,982,0.00014
Power,983,0.00014
Power,984,0.00014
Power,985,0.0001
Power,986,0.0001
Power,987,0.0001
Power,988,0.00009
Power,989,0.0001
Power,990,0.00009
Power,991,0.00009
Power,992,0.00012
Power,993,0.00011
Power,994,0.00013
Power,995,0.00013
Power,996,0.00012
Power,997,0.00014
Power,998,0.00013
Power,999,0.00012
Power,1000,0.00013
Power,1001,0.00012
Power,1002,0.00013
Power,1003,0.00013
Power,1004,0.00013
Power,1005,0.00017
Power,1006,0.00016
Power,1007,0.00011
Power,1008,0.0001
Power,1009,0.0001
Power,1010,0.00009
Power,1011,0.00012
Power,1012,0.00012
Power,1013,0.00008
Power,1014,0.00009
Power,1015,0.0001
Power,1016,0.00009
Power,1017,0.00012
Power,1018,0.00016
Power,1019,0.00018
Power,1020,0.00019
Power,1021,0.00016
Power,1022,0.00012
Power,1023,0.00012
Power,1024,0.00011
Power,1025,0.00011
Power,1026,0.00012
Power,1027,0.00013
Power,1028,0.00016
Power,1029,0.00017
Power,1030,0.00016
Power,1031,0.00015
Power,1032,0.0001
Power,1033,0.0001
Power,1034,0.00009
Power,1035,0.00008
Power,1036,0.00008
Power,1037,0.00011
Power,1038,0.00009
Power,1039,0.00011
Power,1040,0.00012
Power,1041,0.00011
Power,1042,0.00013
Power,1043,0.00016
Power,1044,0.00015
Power,1045,0.00016
Power,1046,0.00015
Power,1047,0.00013
Power,1048,0.00013
Power,1049,0.00013
Power,1050,0.00014
Power,1051,0.00014
Power,1052,0.00015
Power,1053,0.00014
Power,1054,0.00012
Power,1055,0.00012
Power,1056,0.0001
Power,1057,0.00013
Power,1058,0.00012
Power,1059,0.00011
Power,1060,0.00011
Power,1061,0.00011
Power,1062,0.0001
Power,1063,0.0001
Power,1064,0.0001
Power,1065,0.00012
Power,1066,0.00012
Power,1067,0.00012
Power,1068,0.00012
Power,1069,0.00013
Power,1070,0.00013
Power,1071,0.00015
Power,1072,0.00012
Power,1073,0.00013
Power,1074,0.00015
Power,1075,0.00015
Power,1076,0.00015
Power,1077,0.00015
Power,1078,0.00011
Power,1079,0.00011
Power,1080,0.0001
Power,1081,0.00009
Power,1082,0.0001
Power,1083,0.0001
Power,1084,0.0001
Power,1085,0.00008
Power,1086,0.00007
Power,1087,0.00008
Power,1088,0.00011
Power,1089,0.00012
Power,1090,0.00015
Power,1091,0.00015
Power,1092,0.00014
Power,1093,0.00016
Power,1094,0.00014
Power,1095,0.00011
Power,1096,0.00013
Power,1097,0.00012
Power,1098,0.00008
Power,1099,0.0001
Power,1100,0.00015
Power,1101,0.00013
Power,1102,0.00013
Power,1103,0.00013
Power,1104,0.00012
Power,1105,0.00009
Power,1106,0.00008
Power,1107,0.00008
Power,1108,0.00008
Power,1109,0.00008
Power,1110,0.00008
Power,1111,0.00009
Power,1112,0.00012
Power,1113,0.0001
Power,1114,0.00011
Power,1115,0.00014
Power,1116,0.00015
Power,1117,0.00012
Power,1118,0.00014
Power,1119,0.00014
Power,1120,0.00011
Power,1121,0.00011
Power,1122,0.00011
Power,1123,0.00012
Power,1124,0.00011
Power,1125,0.0001
Power,1126,0.00014
Power,1127,0.00013
Power,1128,0.0001
Power,1129,0.00009
Power,1130,0.00009
Power,1131,0.00009
Power,1132,0.0001
Power,1133,0.0001
Power,1134,0.00008
Power,1135,0.0001
Power,1136,0.00009
Power,1137,0.00013
Power,1138,0.00014
Power,1139,0.00012
Power,1140,0.00012
Power,1141,0.00014
Power,1142,0.00013
Power,1143,0.00006
Power,1144,0.00012
Power,1145,0.00011
Power,1146,0.00011
Power,1147,0.00012
Power,1148,0.00009
Power,1149,0.00013
Power,1150,0.00014
Power,1151,0.00014
Power,1152,0.00014
Power,1153,0.0001
Power,1154,0.0001
Power,1155,0.00009
Power,1156,0.00009
Power,1157,0.0001
Power,1158,0.00008
Power,1159,0.00009
Power,1160,0.00012
Power,1161,0.00011
Power,1162,0.00012
Power,1163,0.00013
Power,1164,0.00012
Power,1165,0.00014
Power,1166,0.00013
Power,1167,0.00012
Power,1168,0.00012
Power,1169,0.00014
Power,1170,0.00013
Power,1171,0.00013
Power,1172,0.00013
Power,1173,0.00014
Power,1174,0.00013
Power,1175,0.00013
Power,1176,0.00011
Power,1177,0.00009
Power,1178,0.00009
Power,1179,0.00008
Power,1180,0.00009
Power,1181,0.00009
Power,1182,0.00008
Power,1183,0.00009
Power,1184,0.0001
Power,1185,0.00011
Power,1186,0.00012
Power,1187,0.00012
Power,1188,0.00014
Power,1189,0.00016
Power,1190,0.00012
Power,1191,0.00012
Power,1192,0.00011
Power,1193,0.00012
Power,1194,0.00012
Power,1195,0.00009
Power,1196,0.00014
Power,1197,0.00017
Power,1198,0.00016
Power,1199,0.00015
Power,1200,0.0001
Power,1201,0.0001
Power,1202,0.0001
Power,1203,0.00009
Power,1204,0.00009
Power,1205,0.00011
Power,1206,0.00009
Power,1207,0.0001
Power,1208,0.00009
Power,1209,0.00011
Power,1210,0.0001
Power,1211,0.00013
Power,1212,0.00015
Power,1213,0.00016
Power,1214,0.00015
Power,1215,0.00013
Power,1216,0.00013
Power,1217,0.00015
Power,1218,0.00014
Power,1219,0.00014
Power,1220,0.00015
Power,1221,0.00014
Power,1222,0.00012
Power,1223,0.00008
Power,1224,0.0001
Power,1225,0.0001
Power,1226,0.00009
Power,1227,0.00009
Power,1228,0.00011
Power,1229,0.00011
Power,1230,0.00008
Power,1231,0.00009
Power,1232,0.0001
Power,1233,0.00012
Power,1234,0.00012
Power,1235,0.00013
Power,1236,0.00012
Power,1237,0.00013
Power,1238,0.00013
Power,1239,0.00015
Power,1240,0.00012
Power,1241,0.00013
Power,1242,0.00015
Power,1243,0.00015
Power,1244,0.00015
Power,1245,0.00015
Power,1246,0.00011
Power,1247,0.00011
Power,1248,0.0001
Power,1249,0.00009
Power,1250,0.00009
Power,1251,0.00009
Power,1252,0.00009
Power,1253,0.00009
Power,1254,0.00009
Power,1255,0.0001
Power,1256,0.00012
Power,1257,0.00011
Power,1258,0.00015
Power,1259,0.00012
Power,1260,0.00013
Power,1261,0.00011
Power,1262,0.00014
Power,1263,0.00011
Power,1264,0.00013
Power,1265,0.00012
Power,1266,0.00012
Power,1267,0.00013
Power,1268,0.00015
Power,1269,0.00014
Power,1270,0.00013
Power,1271,0.00013
Power,1272,0.00012
Power,1273,0.00009
Power,1274,0.00009
Power,1275,0.00009
Power,1276,0.00009
Power,1277,0.00009
Power,1278,0.00009
Power,1279,0.0001
Power,1280,0.00012
Power,1281,0.00012
Power,1282,0.00011
Power,1283,0.00014
Power,1284,0.00015
Power,1285,0.00012
Power,1286,0.00014
Power,1287,0.00012
Power,1288,0.00012
Power,1289,0.00012
Power,1290,0.00015
Power,1291,0.00012
Power,1292,0.00013
Power,1293,0.0001
Power,1294,0.00014
Power,1295,0.00013
Power,1296,0.00014
Power,1297,0.0001
Power,1298,0.00009
Power,1299,0.00008
Power,1300,0.00008
Power,1301,0.00008
Power,1302,0.00009
Power,1303,0.0001
Power,1304,0.00009
Power,1305,0.00012
Power,1306,0.00014
Power,1307,0.00012
Power,1308,0.00012
Power,1309,0.00014
Power,1310,0.00013
Power,1311,0.00012
Power,1312,0.00012
Power,1313,0.00011
Power,1314,0.00012
Power,1315,0.00013
Power,1316,0.00009
Power,1317,0.00013
