technology,hour,value
WindOnshore,663,0.83
WindOnshore,664,0.70
WindOnshore,665,0.65
WindOnshore,666,0.64
WindOnshore,667,0.61
WindOnshore,668,0.67
WindOnshore,669,0.46
WindOnshore,670,0.40
WindOnshore,671,0.35
WindOnshore,672,0.31
WindOnshore,673,0.41
WindOnshore,674,0.43
WindOnshore,675,0.33
WindOnshore,676,0.29
WindOnshore,677,0.51
WindOnshore,678,0.83
WindOnshore,679,0.67
WindOnshore,680,0.57
WindOnshore,681,0.63
WindOnshore,682,0.55
WindOnshore,683,0.46
WindOnshore,684,0.58
WindOnshore,685,0.71
WindOnshore,686,0.69
WindOnshore,687,0.65
WindOnshore,688,0.61
WindOnshore,689,0.60
WindOnshore,690,0.54
WindOnshore,691,0.43
WindOnshore,692,0.45
WindOnshore,693,0.42
WindOnshore,694,0.44
WindOnshore,695,0.50
WindOnshore,696,0.33
WindOnshore,697,0.27
WindOnshore,698,0.34
WindOnshore,699,0.45
WindOnshore,700,0.37
WindOnshore,701,0.45
WindOnshore,702,0.58
WindOnshore,703,0.71
WindOnshore,704,0.62
WindOnshore,705,0.58
WindOnshore,706,0.47
WindOnshore,707,0.52
WindOnshore,708,0.62
WindOnshore,709,0.53
WindOnshore,710,0.55
WindOnshore,711,0.53
WindOnshore,712,0.59
WindOnshore,713,0.50
WindOnshore,714,0.46
WindOnshore,715,0.43
WindOnshore,716,0.39
WindOnshore,717,0.35
WindOnshore,718,0.31
WindOnshore,719,0.24
WindOnshore,720,0.13
WindOnshore,721,0.10
WindOnshore,722,0.07
WindOnshore,723,0.07
WindOnshore,724,0.13
WindOnshore,725,0.16
WindOnshore,726,0.24
WindOnshore,727,0.26
WindOnshore,728,0.30
WindOnshore,729,0.28
WindOnshore,730,0.28
WindOnshore,731,0.40
WindOnshore,732,0.52
WindOnshore,733,0.45
WindOnshore,734,0.41
WindOnshore,735,0.46
WindOnshore,736,0.48
WindOnshore,737,0.46
WindOnshore,738,0.43
WindOnshore,739,0.31
WindOnshore,740,0.21
WindOnshore,741,0.18
WindOnshore,742,0.20
WindOnshore,743,0.21
WindOnshore,744,0.23
WindOnshore,745,0.28
WindOnshore,746,0.24
WindOnshore,747,0.18
WindOnshore,748,0.17
WindOnshore,749,0.13
WindOnshore,750,0.06
WindOnshore,751,0.07
WindOnshore,752,0.08
WindOnshore,753,0.05
WindOnshore,754,0.15
WindOnshore,755,0.13
WindOnshore,756,0.30
WindOnshore,757,0.31
WindOnshore,758,0.36
WindOnshore,759,0.43
WindOnshore,760,0.46
WindOnshore,761,0.50
WindOnshore,762,0.58
WindOnshore,763,0.64
WindOnshore,764,0.61
WindOnshore,765,0.60
WindOnshore,766,0.59
WindOnshore,767,0.64
WindOnshore,768,0.70
WindOnshore,769,0.71
WindOnshore,770,0.75
