Hour,Technology,Value
205,WindOnshore,
205,HydroPower,
205,DieselGenerator,
205,DieselImports,
206,SolarPV,
206,WindOnshore,
206,HydroPower,
206,DieselGenerator,
206,DieselImports,
207,SolarPV,
207,WindOnshore,
207,HydroPower,
207,DieselGenerator,
207,DieselImports,
208,SolarPV,
208,WindOnshore,
208,HydroPower,
208,DieselGenerator,
208,DieselImports,
209,SolarPV,
209,WindOnshore,
209,HydroPower,
209,DieselGenerator,
209,DieselImports,
210,SolarPV,
210,WindOnshore,
210,HydroPower,
210,DieselGenerator,
210,DieselImports,
211,SolarPV,
211,WindOnshore,
211,HydroPower,
211,DieselGenerator,
211,DieselImports,
212,SolarPV,
212,WindOnshore,
212,HydroPower,
212,DieselGenerator,
212,DieselImports,
213,SolarPV,
213,WindOnshore,
213,HydroPower,
213,DieselGenerator,
213,DieselImports,
214,SolarPV,
214,WindOnshore,
214,HydroPower,
214,DieselGenerator,
214,DieselImports,
215,SolarPV,
215,WindOnshore,
215,HydroPower,
215,DieselGenerator,
215,DieselImports,
216,SolarPV,
216,WindOnshore,
216,HydroPower,
216,DieselGenerator,
216,DieselImports,
217,SolarPV,
217,WindOnshore,
217,HydroPower,
217,DieselGenerator,
217,DieselImports,
218,SolarPV,
218,WindOnshore,
218,HydroPower,
218,DieselGenerator,
218,DieselImports,
219,SolarPV,
219,WindOnshore,
219,HydroPower,
219,DieselGenerator,
219,DieselImports,
220,SolarPV,
220,WindOnshore,
220,HydroPower,
220,DieselGenerator,
220,DieselImports,
221,SolarPV,
221,WindOnshore,
221,HydroPower,
221,DieselGenerator,
221,DieselImports,
222,SolarPV,
222,WindOnshore,
222,HydroPower,
222,DieselGenerator,
222,DieselImports,
223,SolarPV,
223,WindOnshore,
223,HydroPower,
223,DieselGenerator,
223,DieselImports,
224,SolarPV,
224,WindOnshore,
224,HydroPower,
224,DieselGenerator,
224,DieselImports,
225,SolarPV,
225,WindOnshore,
225,HydroPower,
225,DieselGenerator,
225,DieselImports,
226,SolarPV,
226,WindOnshore,
226,HydroPower,
226,DieselGenerator,
226,DieselImports,
227,SolarPV,
227,WindOnshore,
227,HydroPower,
227,DieselGenerator,
227,DieselImports,
228,SolarPV,
228,WindOnshore,
228,HydroPower,
228,DieselGenerator,
228,DieselImports,
229,SolarPV,
229,WindOnshore,
229,HydroPower,
229,DieselGenerator,
229,DieselImports,
230,SolarPV,
230,WindOnshore,
230,HydroPower,
230,DieselGenerator,
230,DieselImports,
231,SolarPV,
231,WindOnshore,
231,HydroPower,
231,DieselGenerator,
231,DieselImports,
232,SolarPV,
232,WindOnshore,
232,HydroPower,
232,DieselGenerator,
232,DieselImports,
233,SolarPV,
233,WindOnshore,
233,HydroPower,
233,DieselGenerator,
233,DieselImports,
234,SolarPV,
234,WindOnshore,
234,HydroPower,
234,DieselGenerator,
234,DieselImports,
235,SolarPV,
235,WindOnshore,
235,HydroPower,
235,DieselGenerator,
235,DieselImports,
236,SolarPV,
236,WindOnshore,
236,HydroPower,
236,DieselGenerator,
236,DieselImports,
237,SolarPV,
237,WindOnshore,
237,HydroPower,
237,DieselGenerator,
237,DieselImports,
238,SolarPV,
238,WindOnshore,
238,HydroPower,
238,DieselGenerator,
238,DieselImports,
239,SolarPV,
239,WindOnshore,
239,HydroPower,
239,DieselGenerator,
239,DieselImports,
240,SolarPV,
240,WindOnshore,
240,HydroPower,
240,DieselGenerator,
240,DieselImports,
241,SolarPV,
241,WindOnshore,
241,HydroPower,
241,DieselGenerator,
241,DieselImports,
242,SolarPV,
242,WindOnshore,
242,HydroPower,
242,DieselGenerator,
242,DieselImports,
243,SolarPV,
243,WindOnshore,
243,HydroPower,
243,DieselGenerator,
243,DieselImports,
244,SolarPV,
244,WindOnshore,
244,HydroPower,
244,DieselGenerator,
244,DieselImports,
245,SolarPV,
245,WindOnshore,
245,HydroPower,
245,DieselGenerator,
245,DieselImports,
246,SolarPV,
246,WindOnshore,
246,HydroPower,
246,DieselGenerator,
246,DieselImports,
247,SolarPV,
247,WindOnshore,
247,HydroPower,
247,DieselGenerator,
247,DieselImports,
248,SolarPV,
248,WindOnshore,
248,HydroPower,
248,DieselGenerator,
248,DieselImports,
249,SolarPV,
249,WindOnshore,
249,HydroPower,
249,DieselGenerator,
249,DieselImports,
250,SolarPV,
250,WindOnshore,
250,HydroPower,
250,DieselGenerator,
250,DieselImports,
251,SolarPV,
251,WindOnshore,
251,HydroPower,
251,DieselGenerator,
251,DieselImports,
252,SolarPV,
252,WindOnshore,
252,HydroPower,
252,DieselGenerator,
252,DieselImports,
253,SolarPV,
253,WindOnshore,
253,HydroPower,
253,DieselGenerator,
253,DieselImports,
254,SolarPV,
254,WindOnshore,
254,HydroPower,
254,DieselGenerator,
