Year,Hour,Fuel,Value
2030,69,Diesel,-0.0
2030,69,FireWood,-0.0
2030,70,Power,-0.0
2030,70,Heat,-0.0
2030,70,Mobility,-0.0
2030,70,Cooking,-0.0
2030,70,Diesel,-0.0
2030,70,FireWood,-0.0
2030,71,Power,-0.0
2030,71,Heat,-0.0
2030,71,Mobility,-0.0
2030,71,Cooking,-0.0
2030,71,Diesel,-0.0
2030,71,FireWood,-0.0
2030,72,Power,-0.0
2030,72,Heat,-0.0
2030,72,Mobility,-0.0
2030,72,Cooking,-0.0
2030,72,Diesel,-0.0
2030,72,FireWood,-0.0
2030,73,Power,-0.0
2030,73,Heat,-0.0
2030,73,Mobility,-0.0
2030,73,Cooking,-0.0
2030,73,Diesel,-0.0
2030,73,FireWood,-0.0
2030,74,Power,-1.4210854715202004e-14
2030,74,Heat,-0.0
2030,74,Mobility,-0.0
2030,74,Cooking,-0.0
2030,74,Diesel,-0.0
2030,74,FireWood,-0.0
2030,75,Power,-0.0
2030,75,Heat,-0.0
2030,75,Mobility,-0.0
2030,75,Cooking,-0.0
2030,75,Diesel,-0.0
2030,75,FireWood,-0.0
2030,76,Power,-0.0
2030,76,Heat,-0.0
2030,76,Mobility,-0.0
2030,76,Cooking,-0.0
2030,76,Diesel,-0.0
2030,76,FireWood,-0.0
2030,77,Power,-0.0
2030,77,Heat,-0.0
2030,77,Mobility,-0.0
2030,77,Cooking,-0.0
2030,77,Diesel,-0.0
2030,77,FireWood,-0.0
2030,78,Power,-1.4210854715202004e-14
2030,78,Heat,-0.0
2030,78,Mobility,-0.0
2030,78,Cooking,-0.0
2030,78,Diesel,-0.0
2030,78,FireWood,-0.0
2030,79,Power,-0.0
2030,79,Heat,-0.0
2030,79,Mobility,-0.0
2030,79,Cooking,-0.0
2030,79,Diesel,-0.0
2030,79,FireWood,-0.0
2030,80,Power,-0.0
2030,80,Heat,-0.0
2030,80,Mobility,-0.0
2030,80,Cooking,-0.0
2030,80,Diesel,-0.0
2030,80,FireWood,-0.0
2030,81,Power,-0.0
2030,81,Heat,-0.0
2030,81,Mobility,-0.0
2030,81,Cooking,-0.0
2030,81,Diesel,-0.0
2030,81,FireWood,-0.0
2030,82,Power,-0.0
2030,82,Heat,-0.0
2030,82,Mobility,-0.0
2030,82,Cooking,-0.0
2030,82,Diesel,-0.0
2030,82,FireWood,-0.0
2030,83,Power,-0.0
2030,83,Heat,-0.0
2030,83,Mobility,-0.0
2030,83,Cooking,-0.0
2030,83,Diesel,-0.0
2030,83,FireWood,-0.0
2030,84,Power,-0.0
2030,84,Heat,-0.0
2030,84,Mobility,-0.0
2030,84,Cooking,-4.440892098500626e-16
2030,84,Diesel,-0.0
2030,84,FireWood,-0.0
2030,85,Power,-0.0
2030,85,Heat,-0.0
2030,85,Mobility,-0.0
2030,85,Cooking,-0.0
2030,85,Diesel,-0.0
2030,85,FireWood,-0.0
2030,86,Power,-0.0
2030,86,Heat,-0.0
2030,86,Mobility,-0.0
2030,86,Cooking,-4.440892098500626e-16
2030,86,Diesel,-0.0
2030,86,FireWood,-0.0
2030,87,Power,-1.4210854715202004e-14
2030,87,Heat,-0.0
2030,87,Mobility,-0.0
2030,87,Cooking,-0.0
2030,87,Diesel,-0.0
2030,87,FireWood,-0.0
2030,88,Power,-0.0
2030,88,Heat,-0.0
2030,88,Mobility,-0.0
2030,88,Cooking,-0.0
2030,88,Diesel,-0.0
2030,88,FireWood,-0.0
2030,89,Power,-0.0
2030,89,Heat,-0.0
2030,89,Mobility,-0.0
2030,89,Cooking,-0.0
2030,89,Diesel,-0.0
2030,89,FireWood,-0.0
2030,90,Power,-0.0
2030,90,Heat,-0.0
2030,90,Mobility,-0.0
2030,90,Cooking,-0.0
2030,90,Diesel,-0.0
2030,90,FireWood,-0.0
2030,91,Power,-0.0
2030,91,Heat,-0.0
2030,91,Mobility,-0.0
2030,91,Cooking,-0.0
2030,91,Diesel,-0.0
2030,91,FireWood,-0.0
2030,92,Power,-0.0
2030,92,Heat,-0.0
2030,92,Mobility,-0.0
2030,92,Cooking,-0.0
2030,92,Diesel,-0.0
2030,92,FireWood,-0.0
2030,93,Power,-0.0
2030,93,Heat,-0.0
2030,93,Mobility,-0.0
2030,93,Cooking,-0.0
2030,93,Diesel,-0.0
2030,93,FireWood,-0.0
2030,94,Power,-0.0
2030,94,Heat,-0.0
2030,94,Mobility,-0.0
2030,94,Cooking,-4.440892098500626e-16
2030,94,Diesel,-0.0
2030,94,FireWood,-0.0
2030,95,Power,-0.0
2030,95,Heat,-0.0
2030,95,Mobility,-0.0
2030,95,Cooking,-4.440892098500626e-16
2030,95,Diesel,-0.0
2030,95,FireWood,-0.0
2030,96,Power,-0.0
2030,96,Heat,-0.0
2030,96,Mobility,-0.0
2030,96,Cooking,-0.0
2030,96,Diesel,-0.0
2030,96,FireWood,-0.0
2030,97,Power,-0.0
2030,97,Heat,-0.0
2030,97,Mobility,-0.0
2030,97,Cooking,-0.0
2030,97,Diesel,-0.0
2030,97,FireWood,-0.0
2030,98,Power,-0.0
2030,98,Heat,-0.0
2030,98,Mobility,-0.0
2030,98,Cooking,-0.0
2030,98,Diesel,-0.0
2030,98,FireWood,-0.0
2030,99,Power,-0.0
2030,99,Heat,-0.0
2030,99,Mobility,-0.0
2030,99,Cooking,-0.0
2030,99,Diesel,-0.0
2030,99,FireWood,-0.0
2030,100,Power,-0.0
2030,100,Heat,-0.0
2030,100,Mobility,-0.0
2030,100,Cooking,-0.0
2030,100,Diesel,-0.0
2030,100,FireWood,-0.0
2030,101,Power,-0.0
2030,101,Heat,-0.0
2030,101,Mobility,-0.0
2030,101,Cooking,-0.0
2030,101,Diesel,-0.0
2030,101,FireWood,-0.0
2030,102,Power,-0.0
2030,102,Heat,-0.0
2030,102,Mobility,-0.0
2030,102,Cooking,-0.0
2030,102,Diesel,-0.0
2030,102,FireWood,-0.0
2030,103,Power,-1.4210854715202004e-14
2030,103,Heat,-0.0
2030,103,Mobility,-0.0
2030,103,Cooking,-4.440892098500626e-16
2030,103,Diesel,-0.0
2030,103,FireWood,-0.0
2030,104,Power,-0.0
2030,104,Heat,-0.0
2030,104,Mobility,-0.0
2030,104,Cooking,-0.0
2030,104,Diesel,-0.0
2030,104,FireWood,-0.0
2030,105,Power,-0.0
2030,105,Heat,-0.0
2030,105,Mobility,-0.0
2030,105,Cooking,-0.0
2030,105,Diesel,-0.0
2030,105,FireWood,-0.0
2030,106,Power,-0.0
2030,106,Heat,-0.0
2030,106,Mobility,-0.0
2030,106,Cooking,-2.220446049250313e-15
2030,106,Diesel,-0.0
2030,106,FireWood,-0.0
2030,107,Power,-1.4210854715202004e-14
2030,107,Heat,-0.0
2030,107,Mobility,-0.0
2030,107,Cooking,-0.0
2030,107,Diesel,-0.0
2030,107,FireWood,-0.0
2030,108,Power,-0.0
2030,108,Heat,-0.0
2030,108,Mobility,-0.0
2030,108,Cooking,-4.440892098500626e-16
2030,108,Diesel,-0.0
2030,108,FireWood,-0.0
2030,109,Power,-1.4210854715202004e-14
2030,109,Heat,-0.0
2030,109,Mobility,-0.0
2030,109,Cooking,-0.0
2030,109,Diesel,-0.0
2030,109,FireWood,-0.0
2030,110,Power,-0.0
2030,110,Heat,-0.0
2030,110,Mobility,-0.0
2030,110,Cooking,-4.440892098500626e-16
2030,110,Diesel,-0.0
2030,110,FireWood,-0.0
2030,111,Power,-0.0
2030,111,Heat,-0.0
2030,111,Mobility,-0.0
2030,111,Cooking,-0.0
2030,111,Diesel,-0.0
2030,111,FireWood,-0.0
2030,112,Power,-0.0
2030,112,Heat,-0.0
2030,112,Mobility,-0.0
2030,112,Cooking,-4.440892098500626e-16
2030,112,Diesel,-0.0
2030,112,FireWood,-0.0
2030,113,Power,-0.0
2030,113,Heat,-0.0
2030,113,Mobility,-0.0
2030,113,Cooking,-0.0
2030,113,Diesel,-0.0
2030,113,FireWood,-0.0
2030,114,Power,-0.0
2030,114,Heat,-0.0
2030,114,Mobility,-0.0
2030,114,Cooking,-0.0
2030,114,Diesel,-0.0
2030,114,FireWood,-0.0
2030,115,Power,-0.0
2030,115,Heat,-0.0
2030,115,Mobility,-0.0
2030,115,Cooking,-0.0
2030,115,Diesel,-0.0
2030,115,FireWood,-0.0
2030,116,Power,-0.0
2030,116,Heat,-0.0
2030,116,Mobility,-0.0
2030,116,Cooking,-0.0
2030,116,Diesel,-0.0
2030,116,FireWood,-0.0
2030,117,Power,-0.0
2030,117,Heat,-0.0
2030,117,Mobility,-0.0
2030,117,Cooking,-0.0
2030,117,Diesel,-0.0
2030,117,FireWood,-0.0
2030,118,Power,-0.0
2030,118,Heat,-0.0
2030,118,Mobility,-0.0
2030,118,Cooking,-0.0
2030,118,Diesel,-0.0
2030,118,FireWood,-0.0
2030,119,Power,-0.0
2030,119,Heat,-0.0
2030,119,Mobility,-0.0
2030,119,Cooking,-0.0
2030,119,Diesel,-0.0
2030,119,FireWood,-0.0
2030,120,Power,-0.0
2030,120,Heat,-0.0
2030,120,Mobility,-0.0
2030,120,Cooking,-0.0
2030,120,Diesel,-0.0
2030,120,FireWood,-0.0
2030,121,Power,-0.0
2030,121,Heat,-0.0
2030,121,Mobility,-0.0
2030,121,Cooking,-0.0
2030,121,Diesel,-0.0
2030,121,FireWood,-0.0
2030,122,Power,-0.0
2030,122,Heat,-0.0
2030,122,Mobility,-0.0
2030,122,Cooking,-0.0
2030,122,Diesel,-0.0
2030,122,FireWood,-0.0
2030,123,Power,-0.0
2030,123,Heat,-0.0
2030,123,Mobility,-0.0
2030,123,Cooking,-0.0
2030,123,Diesel,-0.0
2030,123,FireWood,-0.0
2030,124,Power,-0.0
2030,124,Heat,-0.0
2030,124,Mobility,-0.0
2030,124,Cooking,-0.0
2030,124,Diesel,-0.0
2030,124,FireWood,-0.0
2030,125,Power,-0.0
2030,125,Heat,-0.0
2030,125,Mobility,-0.0
2030,125,Cooking,-0.0
2030,125,Diesel,-0.0
2030,125,FireWood,-0.0
2030,126,Power,-0.0
2030,126,Heat,-0.0
2030,126,Mobility,-0.0
2030,126,Cooking,-0.0
2030,126,Diesel,-0.0
2030,126,FireWood,-0.0
2030,127,Power,-0.0
2030,127,Heat,-0.0
2030,127,Mobility,-0.0
2030,127,Cooking,-8.881784197001252e-16
2030,127,Diesel,-0.0
2030,127,FireWood,-0.0
2030,128,Power,-0.0
2030,128,Heat,-0.0
2030,128,Mobility,-0.0
2030,128,Cooking,-0.0
2030,128,Diesel,-0.0
2030,128,FireWood,-0.0
2030,129,Power,-0.0
2030,129,Heat,-0.0
2030,129,Mobility,-0.0
2030,129,Cooking,-0.0
2030,129,Diesel,-0.0
2030,129,FireWood,-0.0
2030,130,Power,-0.0
2030,130,Heat,-0.0
2030,130,Mobility,-0.0
2030,130,Cooking,-0.0
2030,130,Diesel,-0.0
2030,130,FireWood,-0.0
2030,131,Power,-0.0
2030,131,Heat,-0.0
2030,131,Mobility,-0.0
2030,131,Cooking,-0.0
2030,131,Diesel,-0.0
2030,131,FireWood,-0.0
2030,132,Power,-7.105427357601002e-15
2030,132,Heat,-0.0
2030,132,Mobility,-0.0
2030,132,Cooking,-4.440892098500626e-16
2030,132,Diesel,-0.0
2030,132,FireWood,-0.0
2030,133,Power,-0.0
2030,133,Heat,-0.0
2030,133,Mobility,-0.0
2030,133,Cooking,-0.0
2030,133,Diesel,-0.0
2030,133,FireWood,-0.0
2030,134,Power,-0.0
2030,134,Heat,-0.0
2030,134,Mobility,-0.0
2030,134,Cooking,-0.0
2030,134,Diesel,-0.0
2030,134,FireWood,-0.0
2030,135,Power,-0.0
2030,135,Heat,-0.0
2030,135,Mobility,-0.0
2030,135,Cooking,-4.440892098500626e-16
2030,135,Diesel,-0.0
2030,135,FireWood,-0.0
2030,136,Power,-0.0
2030,136,Heat,-0.0
2030,136,Mobility,-0.0
2030,136,Cooking,-0.0
2030,136,Diesel,-0.0
2030,136,FireWood,-0.0
2030,137,Power,-0.0
2030,137,Heat,-0.0
2030,137,Mobility,-0.0
2030,137,Cooking,-0.0
2030,137,Diesel,-0.0
2030,137,FireWood,-0.0
2030,138,Power,-0.0
2030,138,Heat,-0.0
2030,138,Mobility,-0.0
2030,138,Cooking,-4.440892098500626e-16
2030,138,Diesel,-0.0
2030,138,FireWood,-0.0
2030,139,Power,-0.0
2030,139,Heat,-0.0
2030,139,Mobility,-0.0
2030,139,Cooking,-0.0
2030,139,Diesel,-0.0
2030,139,FireWood,-0.0
2030,140,Power,-0.0
2030,140,Heat,-0.0
2030,140,Mobility,-0.0
2030,140,Cooking,-0.0
2030,140,Diesel,-0.0
2030,140,FireWood,-0.0
2030,141,Power,-0.0
2030,141,Heat,-0.0
2030,141,Mobility,-0.0
2030,141,Cooking,-0.0
2030,141,Diesel,-0.0
2030,141,FireWood,-0.0
2030,142,Power,-0.0
2030,142,Heat,-0.0
2030,142,Mobility,-0.0
2030,142,Cooking,-0.0
2030,142,Diesel,-0.0
2030,142,FireWood,-0.0
2030,143,Power,-0.0
2030,143,Heat,-0.0
2030,143,Mobility,-0.0
2030,143,Cooking,-4.440892098500626e-16
2030,143,Diesel,-0.0
2030,143,FireWood,-0.0
2030,144,Power,-0.0
2030,144,Heat,-0.0
2030,144,Mobility,-0.0
2030,144,Cooking,-0.0
2030,144,Diesel,-0.0
2030,144,FireWood,-0.0
2030,145,Power,-0.0
2030,145,Heat,-0.0
2030,145,Mobility,-0.0
2030,145,Cooking,-0.0
2030,145,Diesel,-0.0
2030,145,FireWood,-0.0
2030,146,Power,-0.0
2030,146,Heat,-0.0
2030,146,Mobility,-0.0
2030,146,Cooking,-0.0
2030,146,Diesel,-0.0
2030,146,FireWood,-0.0
2030,147,Power,-0.0
2030,147,Heat,-0.0
2030,147,Mobility,-0.0
2030,147,Cooking,-0.0
2030,147,Diesel,-0.0
2030,147,FireWood,-0.0
2030,148,Power,-0.0
2030,148,Heat,-0.0
2030,148,Mobility,-0.0
2030,148,Cooking,-0.0
2030,148,Diesel,-0.0
2030,148,FireWood,-0.0
2030,149,Power,-1.4210854715202004e-14
2030,149,Heat,-0.0
2030,149,Mobility,-0.0
2030,149,Cooking,-0.0
2030,149,Diesel,-0.0
2030,149,FireWood,-0.0
2030,150,Power,-0.0
2030,150,Heat,-0.0
2030,150,Mobility,-0.0
2030,150,Cooking,-0.0
2030,150,Diesel,-0.0
2030,150,FireWood,-0.0
2030,151,Power,-0.0
2030,151,Heat,-0.0
2030,151,Mobility,-0.0
2030,151,Cooking,-0.0
2030,151,Diesel,-0.0
2030,151,FireWood,-0.0
2030,152,Power,-0.0
2030,152,Heat,-0.0
2030,152,Mobility,-0.0
2030,152,Cooking,-0.0
2030,152,Diesel,-0.0
2030,152,FireWood,-0.0
2030,153,Power,-0.0
2030,153,Heat,-0.0
2030,153,Mobility,-0.0
2030,153,Cooking,-0.0
2030,153,Diesel,-0.0
2030,153,FireWood,-0.0
2030,154,Power,-0.0
2030,154,Heat,-0.0
2030,154,Mobility,-0.0
2030,154,Cooking,-0.0
2030,154,Diesel,-0.0
2030,154,FireWood,-0.0
2030,155,Power,-0.0
2030,155,Heat,-0.0
2030,155,Mobility,-0.0
2030,155,Cooking,-0.0
2030,155,Diesel,-0.0
2030,155,FireWood,-0.0
2030,156,Power,-0.0
2030,156,Heat,-0.0
2030,156,Mobility,-0.0
2030,156,Cooking,-4.440892098500626e-16
2030,156,Diesel,-0.0
2030,156,FireWood,-0.0
2030,157,Power,-0.0
