Hour,Technology,Value
97,WindOnshore,
97,HydroPower,
97,DieselGenerator,
97,DieselImport,
97,Forest,
97,GasImport,
97,GasStove,
97,ICEVehicle,
97,WoodBurner,
98,SolarPV,
98,WindOnshore,
98,HydroPower,
98,DieselGenerator,
98,DieselImport,
98,Forest,
98,GasImport,
98,GasStove,
98,ICEVehicle,
98,WoodBurner,
99,SolarPV,
99,WindOnshore,
99,HydroPower,
99,DieselGenerator,
99,DieselImport,
99,Forest,
99,GasImport,
99,GasStove,
99,ICEVehicle,
99,WoodBurner,
100,SolarPV,
100,WindOnshore,
100,HydroPower,
100,DieselGenerator,
100,DieselImport,
100,Forest,
100,GasImport,
100,GasStove,
100,ICEVehicle,
100,WoodBurner,
101,SolarPV,
101,WindOnshore,
101,HydroPower,
101,DieselGenerator,
101,DieselImport,
101,Forest,
101,GasImport,
101,GasStove,
101,ICEVehicle,
101,WoodBurner,
102,SolarPV,
102,WindOnshore,
102,HydroPower,
102,DieselGenerator,
102,DieselImport,
102,Forest,
102,GasImport,
102,GasStove,
102,ICEVehicle,
102,WoodBurner,
103,SolarPV,
103,WindOnshore,
103,HydroPower,
103,DieselGenerator,
103,DieselImport,
103,Forest,
103,GasImport,
103,GasStove,
103,ICEVehicle,
103,WoodBurner,
104,SolarPV,
104,WindOnshore,
104,HydroPower,
104,DieselGenerator,
104,DieselImport,
104,Forest,
104,GasImport,
104,GasStove,
104,ICEVehicle,
104,WoodBurner,
105,SolarPV,
105,WindOnshore,
105,HydroPower,
105,DieselGenerator,
105,DieselImport,
105,Forest,
105,GasImport,
105,GasStove,
105,ICEVehicle,
105,WoodBurner,
106,SolarPV,
106,WindOnshore,
106,HydroPower,
106,DieselGenerator,
106,DieselImport,
106,Forest,
106,GasImport,
106,GasStove,
106,ICEVehicle,
106,WoodBurner,
107,SolarPV,
107,WindOnshore,
107,HydroPower,
107,DieselGenerator,
107,DieselImport,
107,Forest,
107,GasImport,
107,GasStove,
107,ICEVehicle,
107,WoodBurner,
108,SolarPV,
108,WindOnshore,
108,HydroPower,
108,DieselGenerator,
108,DieselImport,
108,Forest,
108,GasImport,
108,GasStove,
108,ICEVehicle,
108,WoodBurner,
109,SolarPV,
109,WindOnshore,
109,HydroPower,
109,DieselGenerator,
109,DieselImport,
109,Forest,
109,GasImport,
109,GasStove,
109,ICEVehicle,
109,WoodBurner,
110,SolarPV,
110,WindOnshore,
110,HydroPower,
110,DieselGenerator,
110,DieselImport,
110,Forest,
110,GasImport,
110,GasStove,
110,ICEVehicle,
110,WoodBurner,
111,SolarPV,
111,WindOnshore,
111,HydroPower,
111,DieselGenerator,
111,DieselImport,
111,Forest,
111,GasImport,
111,GasStove,
111,ICEVehicle,
111,WoodBurner,
112,SolarPV,
112,WindOnshore,
112,HydroPower,
112,DieselGenerator,
112,DieselImport,
112,Forest,
112,GasImport,
112,GasStove,
112,ICEVehicle,
112,WoodBurner,
113,SolarPV,
113,WindOnshore,
113,HydroPower,
113,DieselGenerator,
113,DieselImport,
113,Forest,
113,GasImport,
113,GasStove,
113,ICEVehicle,
113,WoodBurner,
114,SolarPV,
114,WindOnshore,
114,HydroPower,
114,DieselGenerator,
114,DieselImport,
114,Forest,
114,GasImport,
114,GasStove,
114,ICEVehicle,
114,WoodBurner,
115,SolarPV,
115,WindOnshore,
115,HydroPower,
115,DieselGenerator,
115,DieselImport,
115,Forest,
115,GasImport,
115,GasStove,
115,ICEVehicle,
115,WoodBurner,
116,SolarPV,
116,WindOnshore,
116,HydroPower,
116,DieselGenerator,
116,DieselImport,
116,Forest,
116,GasImport,
116,GasStove,
116,ICEVehicle,
116,WoodBurner,
117,SolarPV,
117,WindOnshore,
117,HydroPower,
117,DieselGenerator,
117,DieselImport,
117,Forest,
117,GasImport,
117,GasStove,
117,ICEVehicle,
117,WoodBurner,
118,SolarPV,
118,WindOnshore,
118,HydroPower,
118,DieselGenerator,
118,DieselImport,
118,Forest,
118,GasImport,
118,GasStove,
118,ICEVehicle,
118,WoodBurner,
119,SolarPV,
119,WindOnshore,
119,HydroPower,
119,DieselGenerator,
119,DieselImport,
119,Forest,
119,GasImport,
119,GasStove,
119,ICEVehicle,
119,WoodBurner,
120,SolarPV,
120,WindOnshore,
120,HydroPower,
120,DieselGenerator,
120,DieselImport,
120,Forest,
120,GasImport,
120,GasStove,
120,ICEVehicle,
120,WoodBurner,
121,SolarPV,
121,WindOnshore,
121,HydroPower,
121,DieselGenerator,
121,DieselImport,
121,Forest,
121,GasImport,
121,GasStove,
121,ICEVehicle,
121,WoodBurner,
122,SolarPV,
122,WindOnshore,
122,HydroPower,
122,DieselGenerator,
122,DieselImport,
122,Forest,
122,GasImport,
122,GasStove,
122,ICEVehicle,
122,WoodBurner,
123,SolarPV,
123,WindOnshore,
123,HydroPower,
123,DieselGenerator,
123,DieselImport,
123,Forest,
123,GasImport,
123,GasStove,
123,ICEVehicle,
123,WoodBurner,
124,SolarPV,
124,WindOnshore,
124,HydroPower,
124,DieselGenerator,
124,DieselImport,
124,Forest,
124,GasImport,
124,GasStove,
124,ICEVehicle,
124,WoodBurner,
125,SolarPV,
125,WindOnshore,
125,HydroPower,
125,DieselGenerator,
125,DieselImport,
125,Forest,
125,GasImport,
125,GasStove,
125,ICEVehicle,
125,WoodBurner,
126,SolarPV,
126,WindOnshore,
126,HydroPower,
126,DieselGenerator,
126,DieselImport,
126,Forest,
126,GasImport,
126,GasStove,
126,ICEVehicle,
126,WoodBurner,
127,SolarPV,
127,WindOnshore,
127,HydroPower,
127,DieselGenerator,
127,DieselImport,
127,Forest,
127,GasImport,
127,GasStove,
127,ICEVehicle,
127,WoodBurner,
128,SolarPV,
128,WindOnshore,
128,HydroPower,
128,DieselGenerator,
128,DieselImport,
128,Forest,
128,GasImport,
128,GasStove,
128,ICEVehicle,
128,WoodBurner,
129,SolarPV,
129,WindOnshore,
129,HydroPower,
129,DieselGenerator,
129,DieselImport,
129,Forest,
129,GasImport,
129,GasStove,
129,ICEVehicle,
129,WoodBurner,
130,SolarPV,
130,WindOnshore,
130,HydroPower,
130,DieselGenerator,
130,DieselImport,
130,Forest,
130,GasImport,
130,GasStove,
130,ICEVehicle,
130,WoodBurner,
131,SolarPV,
131,WindOnshore,
131,HydroPower,
131,DieselGenerator,
131,DieselImport,
131,Forest,
131,GasImport,
131,GasStove,
131,ICEVehicle,
131,WoodBurner,
132,SolarPV,
132,WindOnshore,
132,HydroPower,
132,DieselGenerator,
132,DieselImport,
132,Forest,
132,GasImport,
132,GasStove,
132,ICEVehicle,
132,WoodBurner,
133,SolarPV,
133,WindOnshore,
133,HydroPower,
133,DieselGenerator,
133,DieselImport,
133,Forest,
133,GasImport,
133,GasStove,
133,ICEVehicle,
133,WoodBurner,
134,SolarPV,
134,WindOnshore,
134,HydroPower,
134,DieselGenerator,
134,DieselImport,
134,Forest,
134,GasImport,
134,GasStove,
134,ICEVehicle,
134,WoodBurner,
135,SolarPV,
135,WindOnshore,
135,HydroPower,
135,DieselGenerator,
135,DieselImport,
135,Forest,
135,GasImport,
135,GasStove,
135,ICEVehicle,
135,WoodBurner,
136,SolarPV,
136,WindOnshore,
136,HydroPower,
136,DieselGenerator,
136,DieselImport,
136,Forest,
136,GasImport,
136,GasStove,
136,ICEVehicle,
136,WoodBurner,
137,SolarPV,
137,WindOnshore,
137,HydroPower,
137,DieselGenerator,
137,DieselImport,
137,Forest,
137,GasImport,
137,GasStove,
137,ICEVehicle,
137,WoodBurner,
138,SolarPV,
138,WindOnshore,
138,HydroPower,
138,DieselGenerator,
138,DieselImport,
138,Forest,
138,GasImport,
138,GasStove,
138,ICEVehicle,
138,WoodBurner,
139,SolarPV,
139,WindOnshore,
139,HydroPower,
139,DieselGenerator,
139,DieselImport,
139,Forest,
139,GasImport,
139,GasStove,
139,ICEVehicle,
139,WoodBurner,
140,SolarPV,
140,WindOnshore,
140,HydroPower,
140,DieselGenerator,
140,DieselImport,
140,Forest,
140,GasImport,
140,GasStove,
140,ICEVehicle,
140,WoodBurner,
141,SolarPV,
141,WindOnshore,
141,HydroPower,
141,DieselGenerator,
141,DieselImport,
141,Forest,
141,GasImport,
141,GasStove,
141,ICEVehicle,
141,WoodBurner,
142,SolarPV,
142,WindOnshore,
142,HydroPower,
142,DieselGenerator,
142,DieselImport,
142,Forest,
142,GasImport,
142,GasStove,
142,ICEVehicle,
142,WoodBurner,
143,SolarPV,
143,WindOnshore,
143,HydroPower,
143,DieselGenerator,
143,DieselImport,
143,Forest,
143,GasImport,
143,GasStove,
143,ICEVehicle,
143,WoodBurner,
144,SolarPV,
144,WindOnshore,
144,HydroPower,
144,DieselGenerator,
144,DieselImport,
144,Forest,
144,GasImport,
144,GasStove,
144,ICEVehicle,
144,WoodBurner,
145,SolarPV,
145,WindOnshore,
145,HydroPower,
145,DieselGenerator,
145,DieselImport,
145,Forest,
145,GasImport,
145,GasStove,
145,ICEVehicle,
145,WoodBurner,
146,SolarPV,
146,WindOnshore,
146,HydroPower,
146,DieselGenerator,
146,DieselImport,
146,Forest,
146,GasImport,
146,GasStove,
146,ICEVehicle,
146,WoodBurner,
147,SolarPV,
147,WindOnshore,
147,HydroPower,
147,DieselGenerator,
147,DieselImport,
147,Forest,
147,GasImport,
147,GasStove,
147,ICEVehicle,
147,WoodBurner,
148,SolarPV,
148,WindOnshore,
148,HydroPower,
148,DieselGenerator,
148,DieselImport,
148,Forest,
148,GasImport,
148,GasStove,
148,ICEVehicle,
148,WoodBurner,
149,SolarPV,
149,WindOnshore,
149,HydroPower,
149,DieselGenerator,
149,DieselImport,
149,Forest,
149,GasImport,
149,GasStove,
149,ICEVehicle,
149,WoodBurner,
150,SolarPV,
150,WindOnshore,
150,HydroPower,
150,DieselGenerator,
150,DieselImport,
150,Forest,
150,GasImport,
150,GasStove,
150,ICEVehicle,
150,WoodBurner,
151,SolarPV,
151,WindOnshore,
151,HydroPower,
151,DieselGenerator,
151,DieselImport,
151,Forest,
151,GasImport,
151,GasStove,
151,ICEVehicle,
151,WoodBurner,
152,SolarPV,
152,WindOnshore,
152,HydroPower,
152,DieselGenerator,
152,DieselImport,
152,Forest,
152,GasImport,
