Hour,Storage,Fuel,Value
38,LeadAcidBattery,FireWood,0.0
38,LeadAcidBattery,Gas,0.0
39,LeadAcidBattery,Power,275.96174023957724
39,LeadAcidBattery,Heat,0.0
39,LeadAcidBattery,Mobility,0.0
39,LeadAcidBattery,Cooking,0.0
39,LeadAcidBattery,Diesel,0.0
39,LeadAcidBattery,FireWood,0.0
39,LeadAcidBattery,Gas,0.0
40,LeadAcidBattery,Power,272.055334105863
40,LeadAcidBattery,Heat,0.0
40,LeadAcidBattery,Mobility,0.0
40,LeadAcidBattery,Cooking,0.0
40,LeadAcidBattery,Diesel,0.0
40,LeadAcidBattery,FireWood,0.0
40,LeadAcidBattery,Gas,0.0
41,LeadAcidBattery,Power,272.055334105863
41,LeadAcidBattery,Heat,0.0
41,LeadAcidBattery,Mobility,0.0
41,LeadAcidBattery,Cooking,0.0
41,LeadAcidBattery,Diesel,0.0
41,LeadAcidBattery,FireWood,0.0
41,LeadAcidBattery,Gas,0.0
42,LeadAcidBattery,Power,272.055334105863
42,LeadAcidBattery,Heat,0.0
42,LeadAcidBattery,Mobility,0.0
42,LeadAcidBattery,Cooking,0.0
42,LeadAcidBattery,Diesel,0.0
42,LeadAcidBattery,FireWood,0.0
42,LeadAcidBattery,Gas,0.0
43,LeadAcidBattery,Power,272.055334105863
43,LeadAcidBattery,Heat,0.0
43,LeadAcidBattery,Mobility,0.0
43,LeadAcidBattery,Cooking,0.0
43,LeadAcidBattery,Diesel,0.0
43,LeadAcidBattery,FireWood,0.0
43,LeadAcidBattery,Gas,0.0
44,LeadAcidBattery,Power,272.055334105863
44,LeadAcidBattery,Heat,0.0
44,LeadAcidBattery,Mobility,0.0
44,LeadAcidBattery,Cooking,0.0
44,LeadAcidBattery,Diesel,0.0
44,LeadAcidBattery,FireWood,0.0
44,LeadAcidBattery,Gas,0.0
45,LeadAcidBattery,Power,272.055334105863
45,LeadAcidBattery,Heat,0.0
45,LeadAcidBattery,Mobility,0.0
45,LeadAcidBattery,Cooking,0.0
45,LeadAcidBattery,Diesel,0.0
45,LeadAcidBattery,FireWood,0.0
45,LeadAcidBattery,Gas,0.0
46,LeadAcidBattery,Power,255.3268642895773
46,LeadAcidBattery,Heat,0.0
46,LeadAcidBattery,Mobility,0.0
46,LeadAcidBattery,Cooking,0.0
46,LeadAcidBattery,Diesel,0.0
46,LeadAcidBattery,FireWood,0.0
46,LeadAcidBattery,Gas,0.0
47,LeadAcidBattery,Power,255.3268642895773
47,LeadAcidBattery,Heat,0.0
47,LeadAcidBattery,Mobility,0.0
47,LeadAcidBattery,Cooking,0.0
47,LeadAcidBattery,Diesel,0.0
47,LeadAcidBattery,FireWood,0.0
47,LeadAcidBattery,Gas,0.0
48,LeadAcidBattery,Power,255.39468771405728
48,LeadAcidBattery,Heat,0.0
48,LeadAcidBattery,Mobility,0.0
48,LeadAcidBattery,Cooking,0.0
48,LeadAcidBattery,Diesel,0.0
48,LeadAcidBattery,FireWood,0.0
48,LeadAcidBattery,Gas,0.0
49,LeadAcidBattery,Power,255.72921225405727
49,LeadAcidBattery,Heat,0.0
49,LeadAcidBattery,Mobility,0.0
49,LeadAcidBattery,Cooking,0.0
49,LeadAcidBattery,Diesel,0.0
49,LeadAcidBattery,FireWood,0.0
49,LeadAcidBattery,Gas,0.0
50,LeadAcidBattery,Power,256.32046375405724
50,LeadAcidBattery,Heat,0.0
50,LeadAcidBattery,Mobility,0.0
50,LeadAcidBattery,Cooking,0.0
50,LeadAcidBattery,Diesel,0.0
50,LeadAcidBattery,FireWood,0.0
50,LeadAcidBattery,Gas,0.0
51,LeadAcidBattery,Power,258.06597451853725
51,LeadAcidBattery,Heat,0.0
51,LeadAcidBattery,Mobility,0.0
51,LeadAcidBattery,Cooking,0.0
51,LeadAcidBattery,Diesel,0.0
51,LeadAcidBattery,FireWood,0.0
51,LeadAcidBattery,Gas,0.0
52,LeadAcidBattery,Power,261.63135521853724
52,LeadAcidBattery,Heat,0.0
52,LeadAcidBattery,Mobility,0.0
52,LeadAcidBattery,Cooking,0.0
52,LeadAcidBattery,Diesel,0.0
52,LeadAcidBattery,FireWood,0.0
52,LeadAcidBattery,Gas,0.0
53,LeadAcidBattery,Power,264.73058002301724
53,LeadAcidBattery,Heat,0.0
53,LeadAcidBattery,Mobility,0.0
53,LeadAcidBattery,Cooking,0.0
53,LeadAcidBattery,Diesel,0.0
53,LeadAcidBattery,FireWood,0.0
53,LeadAcidBattery,Gas,0.0
54,LeadAcidBattery,Power,267.98872686853724
54,LeadAcidBattery,Heat,0.0
54,LeadAcidBattery,Mobility,0.0
54,LeadAcidBattery,Cooking,0.0
54,LeadAcidBattery,Diesel,0.0
54,LeadAcidBattery,FireWood,0.0
54,LeadAcidBattery,Gas,0.0
55,LeadAcidBattery,Power,269.5976924085372
