Hour,Fuel,Value
107,Cooking,-0.0
107,Diesel,-999977.88438
107,FireWood,-999908.77831366
107,Gas,-999993.53772
108,Power,-0.0
108,Heat,-0.0
108,Mobility,-0.0
108,Cooking,-0.0
108,Diesel,-999993.13455
108,FireWood,-999905.29059842
108,Gas,-999984.43392
109,Power,-0.0
109,Heat,-0.0
109,Mobility,-0.0
109,Cooking,-0.0
109,Diesel,-999981.30201
109,FireWood,-999910.24682534
109,Gas,-999984.43392
110,Power,-0.0
110,Heat,-0.0
110,Mobility,-0.0
110,Cooking,-0.0
110,Diesel,-999989.61528
110,FireWood,-999909.23722356
110,Gas,-999984.43392
111,Power,-0.0
111,Heat,-0.0
111,Mobility,-0.0
111,Cooking,-0.0
111,Diesel,-999989.82227
111,FireWood,-999907.12623802
111,Gas,-999989.8962
112,Power,-0.0
112,Heat,-0.0
112,Mobility,-0.0
112,Cooking,-0.0
112,Diesel,-999975.04983
112,FireWood,-999815.16069406
112,Gas,-999995.35848
113,Power,-0.0
113,Heat,-0.0
113,Mobility,-0.0
113,Cooking,-0.0
113,Diesel,-999975.5382
113,FireWood,-999821.8607786
113,Gas,-999996.26886
114,Power,-0.0
114,Heat,-0.0
114,Mobility,-0.0
114,Cooking,-0.0
114,Diesel,-999987.2691
114,FireWood,-999817.17989762
114,Gas,-999986.25468
115,Power,-0.0
115,Heat,-0.0
115,Mobility,-0.0
115,Cooking,-0.0
115,Diesel,-999960.1058
115,FireWood,-999865.916129
115,Gas,-999974.41974
116,Power,-0.0
116,Heat,-0.0
116,Mobility,-0.0
116,Cooking,-0.0
116,Diesel,-999946.88518
116,FireWood,-999859.21604446
116,Gas,-999974.41974
117,Power,-0.0
117,Heat,-0.0
117,Mobility,-0.0
117,Cooking,-0.0
117,Diesel,-999957.13076
117,FireWood,-999859.0324805
117,Gas,-999975.33012
118,Power,-0.0
118,Heat,-0.0
118,Mobility,-0.0
118,Cooking,-0.0
118,Diesel,-999980.23056
118,FireWood,-999857.6557508
118,Gas,-999988.98582
119,Power,-0.0
119,Heat,-0.0
119,Mobility,-0.0
119,Cooking,-0.0
119,Diesel,-999970.44497
119,FireWood,-999904.09743268
119,Gas,-999994.4481
120,Power,-0.0
120,Heat,-0.0
120,Mobility,-0.0
120,Cooking,-0.0
120,Diesel,-999973.84401
120,FireWood,-999907.21802
120,Gas,-999999.0
121,Power,-0.0
121,Heat,-0.0
121,Mobility,-0.0
121,Cooking,-0.0
121,Diesel,-999994.30764
121,FireWood,-999910.8892992
121,Gas,-999999.0
122,Power,-0.0
122,Heat,-0.0
122,Mobility,-0.0
122,Cooking,-0.0
122,Diesel,-999985.4973599999
122,FireWood,-999906.66732812
122,Gas,-999999.0
123,Power,-0.0
123,Heat,-0.0
123,Mobility,-0.0
123,Cooking,-0.0
123,Diesel,-999980.493
123,FireWood,-999906.3002002
123,Gas,-999999.0
124,Power,-0.0
124,Heat,-0.0
124,Mobility,-0.0
124,Cooking,-0.0
124,Diesel,-999997.82691
124,FireWood,-999909.32900554
124,Gas,-999999.0
125,Power,-0.0
125,Heat,-0.0
125,Mobility,-0.0
125,Cooking,-0.0
125,Diesel,-999967.59965
125,FireWood,-999815.25247604
125,Gas,-999999.0
126,Power,-0.0
126,Heat,-0.0
126,Mobility,-0.0
126,Cooking,-0.0
126,Diesel,-999962.79529
126,FireWood,-999814.88534812
126,Gas,-999996.26886
127,Power,-0.0
127,Heat,-0.0
127,Mobility,-0.0
127,Cooking,-0.0
127,Diesel,-999961.45952
127,FireWood,-999820.11692098
127,Gas,-999993.53772
128,Power,-0.0
128,Heat,-0.0
128,Mobility,-0.0
128,Cooking,-0.0
128,Diesel,-999975.2352799999
128,FireWood,-999861.60237594
128,Gas,-999985.3443
129,Power,-0.0
129,Heat,-0.0
129,Mobility,-0.0
129,Cooking,-0.0
129,Diesel,-999987.2691
129,FireWood,-999856.46258506
129,Gas,-999982.61316
130,Power,-0.0
130,Heat,-0.0
130,Mobility,-0.0
130,Cooking,-0.0
130,Diesel,-999986.09601
130,FireWood,-999852.05705002
130,Gas,-999983.52354
131,Power,-0.0
131,Heat,-0.0
131,Mobility,-0.0
131,Cooking,-0.0
131,Diesel,-999977.88438
131,FireWood,-999910.79751722
131,Gas,-999993.53772
132,Power,-0.0
132,Heat,-0.0
132,Mobility,-0.0
132,Cooking,-0.0
132,Diesel,-999993.13455
132,FireWood,-999910.79751722
132,Gas,-999983.52354
133,Power,-0.0
133,Heat,-0.0
133,Mobility,-0.0
133,Cooking,-0.0
133,Diesel,-999991.96146
133,FireWood,-999907.30980198
133,Gas,-999983.52354
134,Power,-0.0
134,Heat,-0.0
134,Mobility,-0.0
134,Cooking,-0.0
134,Diesel,-999989.61528
134,FireWood,-999905.47416238
134,Gas,-999983.52354
135,Power,-0.0
135,Heat,-0.0
135,Mobility,-0.0
135,Cooking,-0.0
135,Diesel,-999996.65382
135,FireWood,-999910.52217128
135,Gas,-999989.8962
136,Power,-0.0
136,Heat,-0.0
136,Mobility,-0.0
136,Cooking,-0.0
136,Diesel,-999962.42613
136,FireWood,-999814.88534812
136,Gas,-999994.4481
137,Power,-0.0
137,Heat,-0.0
137,Mobility,-0.0
137,Cooking,-0.0
137,Diesel,-999948.74095
137,FireWood,-999812.49901664
137,Gas,-999996.26886
138,Power,-0.0
138,Heat,-0.0
138,Mobility,-0.0
138,Cooking,-0.0
138,Diesel,-999968.27185
138,FireWood,-999813.23327248
138,Gas,-999985.3443
139,Power,-0.0
139,Heat,-0.0
139,Mobility,-0.0
139,Cooking,-0.0
139,Diesel,-999963.03595
139,FireWood,-999854.9022914
139,Gas,-999971.6886
140,Power,-0.0
140,Heat,-0.0
140,Mobility,-0.0
140,Cooking,-0.0
140,Diesel,-999968.3630299999
140,FireWood,-999856.92149496
140,Gas,-999971.6886
141,Power,-0.0
141,Heat,-0.0
141,Mobility,-0.0
141,Cooking,-0.0
141,Diesel,-999982.13056
141,FireWood,-999850.68032032
141,Gas,-999973.50936
142,Power,-0.0
142,Heat,-0.0
142,Mobility,-0.0
142,Cooking,-0.0
142,Diesel,-999963.0512600001
142,FireWood,-999855.45298328
142,Gas,-999987.16506
143,Power,-0.0
143,Heat,-0.0
143,Mobility,-0.0
143,Cooking,-0.0
143,Diesel,-999990.78837
143,FireWood,-999904.09743268
143,Gas,-999993.53772
144,Power,-0.0
144,Heat,-0.0
144,Mobility,-0.0
144,Cooking,-0.0
144,Diesel,-999991.96146
144,FireWood,-999910.52217128
144,Gas,-999999.0
145,Power,-0.0
145,Heat,-0.0
145,Mobility,-0.0
145,Cooking,-0.0
145,Diesel,-999996.65382
145,FireWood,-999890.6972636
145,Gas,-999999.0
146,Power,-0.0
146,Heat,-0.0
146,Mobility,-0.0
146,Cooking,-0.0
146,Diesel,-999994.30764
146,FireWood,-999889.87122578
146,Gas,-999999.0
147,Power,-0.0
147,Heat,-0.0
147,Mobility,-0.0
147,Cooking,-0.0
147,Diesel,-999996.65382
147,FireWood,-999896.93843824
147,Gas,-999999.0
148,Power,-41.76039999999999
148,Heat,-0.0
148,Mobility,-0.0
148,Cooking,-0.0
148,Diesel,-999994.30764
148,FireWood,-999891.33973746
148,Gas,-999999.0
149,Power,-0.0
149,Heat,-0.0
149,Mobility,-0.0
149,Cooking,-0.0
149,Diesel,-999997.82691
149,FireWood,-999800.7509232
149,Gas,-999999.0
150,Power,-0.0
150,Heat,-0.0
150,Mobility,-0.0
150,Cooking,-0.0
150,Diesel,-999994.30764
150,FireWood,-999807.54278972
150,Gas,-999996.26886
151,Power,-0.0
151,Heat,-0.0
151,Mobility,-0.0
151,Cooking,-0.0
151,Diesel,-999991.96146
151,FireWood,-999809.0113014
151,Gas,-999993.53772
152,Power,-21.334449999999997
152,Heat,-0.0
