Hour,Technology,Value
182,WindOnshore,0.0
182,HydroPower,0.46799999999999997
182,DieselGenerator,0.0
183,SolarPV,0.0
183,WindOnshore,0.0
183,HydroPower,0.46799999999999997
183,DieselGenerator,0.0
184,SolarPV,0.0
184,WindOnshore,0.0
184,HydroPower,0.46149999999999997
184,DieselGenerator,0.0
185,SolarPV,0.0
185,WindOnshore,0.0
185,HydroPower,0.46149999999999997
185,DieselGenerator,0.0
186,SolarPV,0.0
186,WindOnshore,0.0
186,HydroPower,0.46149999999999997
186,DieselGenerator,0.0
187,SolarPV,0.0
187,WindOnshore,0.0
187,HydroPower,0.46149999999999997
187,DieselGenerator,0.0
188,SolarPV,0.0
188,WindOnshore,0.0
188,HydroPower,0.442
188,DieselGenerator,0.0
189,SolarPV,0.0
189,WindOnshore,0.0
189,HydroPower,0.45499999999999996
189,DieselGenerator,0.0
190,SolarPV,0.0
190,WindOnshore,0.0
190,HydroPower,0.45499999999999996
190,DieselGenerator,0.0
191,SolarPV,0.0
191,WindOnshore,0.0
191,HydroPower,0.45499999999999996
191,DieselGenerator,0.0
192,SolarPV,0.0
192,WindOnshore,0.0
192,HydroPower,0.44849999999999995
192,DieselGenerator,0.0
193,SolarPV,0.0
193,WindOnshore,0.0
193,HydroPower,0.44849999999999995
193,DieselGenerator,0.0
194,SolarPV,0.0
194,WindOnshore,0.0
194,HydroPower,0.44849999999999995
194,DieselGenerator,0.0
195,SolarPV,0.0
195,WindOnshore,0.0
195,HydroPower,0.44849999999999995
195,DieselGenerator,0.0
196,SolarPV,0.0
196,WindOnshore,0.0
196,HydroPower,0.44849999999999995
196,DieselGenerator,0.0
197,SolarPV,0.0
197,WindOnshore,0.0
197,HydroPower,0.44849999999999995
197,DieselGenerator,0.0
198,SolarPV,0.0
198,WindOnshore,0.0
198,HydroPower,0.44849999999999995
198,DieselGenerator,0.0
199,SolarPV,0.0
199,WindOnshore,0.0
199,HydroPower,0.45499999999999996
199,DieselGenerator,0.0
200,SolarPV,0.0
200,WindOnshore,0.0
200,HydroPower,0.45499999999999996
200,DieselGenerator,0.0
201,SolarPV,0.0
201,WindOnshore,0.0
201,HydroPower,0.46149999999999997
201,DieselGenerator,0.0
202,SolarPV,0.0
202,WindOnshore,0.0
202,HydroPower,0.46799999999999997
202,DieselGenerator,0.0
203,SolarPV,0.0
203,WindOnshore,0.0
203,HydroPower,0.4745
203,DieselGenerator,0.0
204,SolarPV,0.0
204,WindOnshore,0.0
204,HydroPower,0.481
204,DieselGenerator,0.0
205,SolarPV,0.0
205,WindOnshore,0.0
205,HydroPower,0.4875
205,DieselGenerator,0.0
206,SolarPV,0.0
206,WindOnshore,0.0
206,HydroPower,0.4875
206,DieselGenerator,0.0
207,SolarPV,0.0
207,WindOnshore,0.0
207,HydroPower,0.494
207,DieselGenerator,0.0
208,SolarPV,0.0
208,WindOnshore,0.0
208,HydroPower,0.507
208,DieselGenerator,0.0
209,SolarPV,0.0
209,WindOnshore,0.0
209,HydroPower,0.52
209,DieselGenerator,0.0
210,SolarPV,0.0
210,WindOnshore,0.0
210,HydroPower,0.5265
210,DieselGenerator,0.0
211,SolarPV,0.0
211,WindOnshore,0.0
211,HydroPower,0.533
211,DieselGenerator,0.0
212,SolarPV,0.0
212,WindOnshore,0.0
212,HydroPower,0.5525
212,DieselGenerator,0.0
213,SolarPV,0.0
213,WindOnshore,0.0
213,HydroPower,0.572
213,DieselGenerator,0.0
214,SolarPV,0.0
214,WindOnshore,0.0
214,HydroPower,0.585
214,DieselGenerator,0.0
215,SolarPV,0.0
215,WindOnshore,0.0
215,HydroPower,0.585
215,DieselGenerator,0.0
216,SolarPV,0.0
216,WindOnshore,0.0
216,HydroPower,0.5785
216,DieselGenerator,0.0
217,SolarPV,0.0
217,WindOnshore,0.0
217,HydroPower,0.5785
217,DieselGenerator,0.0
218,SolarPV,0.0
218,WindOnshore,0.0
218,HydroPower,0.572
218,DieselGenerator,0.0
219,SolarPV,0.0
219,WindOnshore,0.0
219,HydroPower,0.5655
219,DieselGenerator,0.0
220,SolarPV,0.0
220,WindOnshore,0.0
220,HydroPower,0.5655
220,DieselGenerator,0.0
221,SolarPV,0.0
221,WindOnshore,0.0
221,HydroPower,0.5589999999999999
221,DieselGenerator,0.0
222,SolarPV,0.0
222,WindOnshore,0.0
222,HydroPower,0.5525
222,DieselGenerator,0.0
223,SolarPV,0.0
223,WindOnshore,0.0
223,HydroPower,0.5525
223,DieselGenerator,0.0
224,SolarPV,0.0
224,WindOnshore,0.0
224,HydroPower,0.5459999999999999
224,DieselGenerator,0.0
225,SolarPV,0.0
225,WindOnshore,0.0
225,HydroPower,0.5525
225,DieselGenerator,0.0
226,SolarPV,0.0
226,WindOnshore,0.0
226,HydroPower,0.572
226,DieselGenerator,0.0
227,SolarPV,0.0
227,WindOnshore,0.0
227,HydroPower,0.6174999999999999
227,DieselGenerator,0.0
228,SolarPV,0.0
228,WindOnshore,0.0
228,HydroPower,0.65
228,DieselGenerator,0.0
229,SolarPV,0.0
229,WindOnshore,0.0
229,HydroPower,0.637
229,DieselGenerator,0.0
230,SolarPV,0.0
230,WindOnshore,0.0
230,HydroPower,0.611
230,DieselGenerator,0.0
231,SolarPV,0.0
231,WindOnshore,0.0
231,HydroPower,0.598
231,DieselGenerator,0.0
232,SolarPV,0.0
232,WindOnshore,0.0
232,HydroPower,0.624
232,DieselGenerator,0.0
233,SolarPV,0.0
